event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
2019-10-07 16:53:39 UTC,view,1004139,2053013555631882655,electronics.smartphone,xiaomi,97.27,557789371,6f3766e4-8234-4eab-ac75-ee7c78450e1b
2019-11-12 11:20:38 UTC,view,10900348,2053013555069845885,appliances.kitchen.mixer,kitfort,112.21,514286491,6baed00b-ce5e-4d5a-93bc-0d638b010459
2019-11-17 13:49:18 UTC,view,17601713,2053013558895051365,,avene,16.47,519499307,99b2847f-23ce-412c-bc67-c702a6e93a78
2019-11-09 12:41:06 UTC,view,26400302,2053013563651392361,,lucente,317.13,569324372,8119b7ed-48e1-4ef8-8567-dd1f4bb5ca2e
2019-11-09 15:42:34 UTC,view,16800185,2053013558316237377,furniture.kitchen.table,,347.5,556962687,f524b6a7-67af-4944-ad6a-3a2bfdfbf11e
2019-11-15 10:42:47 UTC,view,3300254,2053013555355058573,,redmond,151.84,513265758,9d58ef77-4f38-955a-b8ad-3a2656aed50d
2019-10-31 10:22:18 UTC,view,1004990,2053013555631882655,electronics.smartphone,oppo,257.38,514194841,3d1c0ea3-ddd8-45ec-97b9-dad12dcff54e
2019-11-15 10:16:49 UTC,view,2702094,2053013563911439225,appliances.kitchen.refrigerators,,359.26,518652395,8bd0acf5-ad4f-45b6-a515-ee149aa1fad9
2019-10-17 03:24:32 UTC,view,1005232,2053013555631882655,electronics.smartphone,xiaomi,119.69,530016947,9e59fb6b-a74e-44ae-b80a-23f96825bbed
2019-11-22 15:06:20 UTC,view,15100337,2053013557024391671,,,282.89,512983625,d6b626f5-b500-444b-9202-a8b00179193c
2019-10-03 08:37:39 UTC,view,1004856,2053013555631882655,electronics.smartphone,samsung,132.31,529497128,0faaa29b-ab83-4b8a-a3f7-9e1a25566ab6
2019-11-17 15:27:10 UTC,view,2702053,2053013563911439225,appliances.kitchen.refrigerators,lg,514.56,569557395,847c3db6-34a5-46fc-bc4e-4243605ad3cc
2019-11-27 13:21:38 UTC,view,1005115,2053013555631882655,electronics.smartphone,apple,916.37,569215393,2e998885-498d-4ae5-b3ab-e6db4ca9c235
2019-10-27 14:54:58 UTC,cart,17800698,2053013559868129947,computers.desktop,zeta,124.04,512671382,744d1c49-7579-4d67-90ce-50e98f8758fa
2019-11-02 23:11:23 UTC,view,16000011,2053013558223962683,,rondell,46.05,562300261,3953f7b5-04fa-4eab-839e-1489614f4bc0
2019-11-15 22:01:01 UTC,view,12720643,2053013553559896355,,goodride,76.96,555477659,d6085236-f4bb-4820-a819-cf8b2a2e2064
2019-10-27 07:44:30 UTC,view,1005204,2053013555631882655,electronics.smartphone,xiaomi,152.52,518302782,7c3bbe35-7e0c-4295-9a04-afb6e0660b90
2019-11-10 18:17:14 UTC,view,1306571,2053013558920217191,computers.notebook,acer,1801.82,515706919,0ab2b670-65ca-4cb8-930b-3f66415b5f46
2019-10-10 11:44:10 UTC,view,13300121,2053013557166998015,,swisshome,62.81,558787335,35cbc03f-e3e4-4b64-8085-1179a0c4cc8f
2019-11-24 16:02:03 UTC,view,15800174,2053013560144954031,,bosch,150.83,574804808,f33079bb-9a3e-4600-ad2f-891a091e6474
2019-11-03 17:24:23 UTC,view,1005084,2053013555631882655,electronics.smartphone,xiaomi,221.34,514159605,0dca458b-63e9-47a2-90f7-000cb62f31f1
2019-10-01 04:19:14 UTC,view,27500015,2053013554692358509,,kelli,36.6,513946719,b90ed419-413e-4791-88df-98543d377713
2019-11-08 13:23:03 UTC,view,1801690,2053013554415534427,electronics.video.tv,samsung,381.74,568971469,053f565a-3120-4279-8d3b-11df82aaed2e
2019-10-13 16:48:27 UTC,view,2600304,2053013563970159485,,hansa,293.51,527463745,d226986a-de17-4f0e-8288-96fb8b8c2d57
2019-11-17 06:19:42 UTC,view,3901012,2053013552326770905,appliances.environment.water_heater,teploross,106.03,546803389,9b6b631c-4b81-4bae-bc3c-602f8b223ee5
2019-11-04 18:04:05 UTC,view,26300779,2053013563584283495,,sokolov,157.63,531534423,d17065ca-4a2b-455d-ab44-0bf791d4a1c0
2019-10-11 14:42:45 UTC,view,26300076,2053013563584283495,,lucente,215.71,559195574,1b92e861-3a5f-402d-b1f1-8dc93eeaab31
2019-10-29 09:26:07 UTC,view,1005004,2053013555631882655,electronics.smartphone,huawei,231.31,551630588,2baf2173-d40c-4497-90f2-b029ad4e146d
2019-10-20 09:28:14 UTC,view,1002528,2053013555631882655,electronics.smartphone,apple,566.04,525885325,e9e9174e-ed90-4154-ab0d-4de07ac4cb01
2019-11-24 14:59:27 UTC,view,2800614,2053013563835941749,appliances.kitchen.refrigerators,atlant,210.7,514687340,69790179-7499-437f-ad7b-5ef4ccd688f4
2019-11-09 13:05:35 UTC,view,25509967,2053013562208551707,,gerat,66.28,553189317,bc022dab-44b7-4a75-bd4f-226874c38aa1
2019-10-27 18:14:23 UTC,view,17800473,2053013559868129947,computers.desktop,zeta,76.36,515507098,3f959c80-7182-4587-82a2-6068baebb954
2019-10-16 13:14:42 UTC,view,3900815,2053013552326770905,appliances.environment.water_heater,ariston,135.37,560538695,9a600def-3a8d-4473-8b97-ffff55a49fe9
2019-11-15 01:50:32 UTC,view,21405734,2053013561579406073,electronics.clocks,fossil,146.21,569790446,b127fd49-3d00-4c89-a56a-41fd347e428b
2019-10-09 06:17:51 UTC,view,34700011,2061717937420501730,,,8.47,513225100,519985b5-0d5f-47bc-ad10-47f5e25f377f
2019-10-27 16:55:54 UTC,view,56900011,2151563850841850061,,neoline,20.57,550356944,93a795b9-88ae-4d41-8033-ed7e9cf66b72
2019-10-05 13:45:00 UTC,view,1701397,2053013553031414015,computers.peripherals.monitor,hp,282.89,513629450,b7940bd3-ac8e-43fb-a317-9b8c81c77a0d
2019-11-04 04:50:37 UTC,view,12709169,2053013553559896355,,michelin,68.21,554015752,cc8d8828-637f-40bd-9ed7-beb82f3b921b
2019-11-16 10:59:08 UTC,view,3701268,2053013565983425517,appliances.environment.vacuum,artel,66.41,571903948,5282cdd3-ef9d-4aa1-9849-d0b5fcdebe4c
2019-11-17 13:07:27 UTC,view,26500132,2053013563550729061,,lucente,109.91,514382066,d1fdce65-d2f0-4e87-981c-ec20153d63b0
2019-11-16 04:43:31 UTC,cart,3100605,2053013555262783879,appliances.kitchen.blender,xiaomi,53.8,512404398,604c0057-4a33-4529-bbbf-c06b24634779
2019-10-21 12:42:07 UTC,view,1701392,2053013553031414015,computers.peripherals.monitor,acer,135.14,513152710,66aa20d8-54e8-411d-a1bd-cb5b6bcc544f
2019-10-18 22:04:13 UTC,view,15100405,2053013557024391671,,,990.06,548780555,0c2b0f47-aa29-4b52-aefb-c9e1c00a3b0f
2019-11-09 13:23:19 UTC,purchase,1004839,2053013555631882655,electronics.smartphone,oppo,154.42,569340500,8bad9f79-4ba0-4e9e-b4f4-56943161cd97
2019-11-30 14:38:27 UTC,view,45602475,2135658543242543872,apparel.shoes,kapika,72.05,518729827,ab36711a-0202-47c5-b603-61648292fd34
2019-11-14 23:06:02 UTC,view,1480663,2053013561092866779,computers.desktop,dell,617.52,524279070,cac0bfbb-10f9-42f7-b446-d932c07e1a83
2019-10-14 11:03:27 UTC,view,5100610,2053013553341792533,electronics.clocks,apple,334.6,513086356,c961893e-c81f-4d1f-96c2-e50776e21530
2019-11-10 17:14:28 UTC,view,19100002,2053013556227473861,construction.tools.saw,bosch,105.74,518921498,8c53d226-4390-4e6c-b522-8ac9ae802a23
2019-11-12 16:53:28 UTC,view,5100816,2053013553375346967,,xiaomi,29.59,570656708,ecf4d089-dfc4-4489-b2a2-de9bb7f29a69
2019-10-06 04:46:29 UTC,view,1004650,2053013555631882655,electronics.smartphone,samsung,628.44,537385083,34c93f42-224a-48ed-a725-bdb50811b4f4
2019-10-19 06:51:20 UTC,view,2701305,2053013563911439225,appliances.kitchen.refrigerators,samsung,503.79,518394098,cfe99b91-1cb2-431e-b7da-4917f1c872c7
2019-11-28 19:46:47 UTC,view,1480749,2053013561092866779,computers.desktop,pulser,779.92,562026006,14468b23-1ca0-0853-bc09-7738aa64f32c
2019-10-23 05:13:58 UTC,view,1004833,2053013555631882655,electronics.smartphone,samsung,170.83,533834583,0c6ff297-d3b3-46e2-91c1-dc02c4bd69a5
2019-10-04 10:17:50 UTC,view,4802036,2053013554658804075,electronics.audio.headphone,apple,171.56,554693452,8f81361c-2d4d-4448-a279-0116588cea97
2019-10-09 05:02:58 UTC,view,1004856,2053013555631882655,electronics.smartphone,samsung,131.02,515932399,8d0716ae-dd17-4752-bb5d-d8bb63e587d1
2019-11-25 19:07:38 UTC,view,4700629,2053013560899928785,auto.accessories.videoregister,,38.59,545599023,464ef425-e401-42c8-9ea5-9704caec7f65
2019-11-03 12:08:28 UTC,view,12300656,2053013556311359947,construction.tools.drill,makita,125.93,512462519,b8a95be6-0d5e-48dc-9efd-708e0797c29e
2019-11-17 13:48:48 UTC,view,2402160,2053013563743667055,appliances.kitchen.hood,smeg,1630.07,516494857,ade19eba-9220-419c-b418-4c48ddbc70e1
2019-10-14 04:50:20 UTC,view,2601299,2053013563970159485,,dauscher,415.53,514601350,8d4d5773-f70b-4f22-b124-6ef526bb3a9c
2019-10-07 10:07:19 UTC,view,13105167,2053013553526341921,,skad,205.93,512672271,d9858433-1f3e-4bab-b235-d01bde5f8ea7
2019-11-30 06:22:42 UTC,view,50600042,2134905044833666047,auto.accessories.compressor,magnetta,857.77,518733429,d83cdc81-4941-4e98-899d-090d8844fa53
2019-11-11 10:38:24 UTC,view,2700184,2053013563911439225,appliances.kitchen.refrigerators,atlant,289.78,516849494,916b4f38-efaf-4317-b2d2-b447518ac8ca
2019-11-16 05:51:17 UTC,view,1306949,2053013558920217191,computers.notebook,acer,540.04,523124146,eb2f738e-f898-4b65-b9ab-03fdfc3b4c21
